Entreprise;Annee;Chiffre
ab;2017;716968000.0
adwya;2016;84750000.0
alkim;2017;150684000.0
alkim;2019;176909000.0
artes;2018;235400000.0
artes;2017;262391000.0
artes;2019;244345000.0
atb;2017;239708000.0
atb;2018;249039000.0
cc;2018;238226000.0
cell;2018;35053000.0
dh;2017;794548000.0
dh;2019;953361000.0
gif;2019;10690000.0
lstr;2018;37500000.0
lstr;2017;33900000.0
mgr;2017;12274000.0
ml;2017;13739000.0
pltu;2020;4832000.0
sah;2019;560136000.0
scb;2017;63577000.0
scb;2019;103523000.0
servi;2016;49822000.0
sfbt;2019;1202917000.0
somoc;2017;116380000.0
somoc;2019;145412000.0
sopat;2018;86593000.0
sotem;2018;51757000.0
sotem;2019;57542000.0
sotuv;2017;67249000.0
spdit;2018;25570000.0
spdit;2020;18981000.0
stip;2018;72604000.0
stip;2017;60072000.0
stpap;2017;78064000.0
stpap;2018;106558000.0
stpil;2017;15101000.0
tair;2015;995388000.0
tgh;2018;74227000.0
tjari;2017;400581000.0
tjari;2018;485305000.0
tjl;2019;17664000.0
tlnet;2019;42679000.0
tls;2017;132559000.0
tpr;2016;127497000.0
tre;2017;121672000.0
uadh;2017;419497000.0
ubci;2017;209494000.0
ubci;2018;230035000.0
ubci;2019;256249000.0
uib;2018;362598000.0
unimed;2017;70345000.0
unimed;2019;107206000.0
wifack;2018;25473000.0
mnp;2019;636076000.0
oth;2018;838680000.0
oth;2019;898083000.0
cc;2020;252976000.0
cell;2020;53100000.0
aetec;2019;7134000.0
aetec;2018;9981000.0
tinv;2019;395000.0
tgh;2017;99389000.0
sam;2018;21320000.0
gif;2018;13943000.0
bh;2018;494232000.0
bh;2017;387265000.0
sam;2019;24405000.0
icf;2018;185019000.0
sotumag;2019;14079000.0
servi;2018;20634000.0
ab;2020;395028000.0
adwya;2020;97676000.0
ams;2015;25361000.0
al;2017;80461000.0
al;2018;91437000.0
mag;2017;952705000.0
mag;2018;1004311000.0
mag;2019;1056985000.0
icf;2019;187995000.0
nakl;2019;408700000000.0
hl;2017;26469000.0
sam;2018;21320000.0
sfbt;2018;1131356000.0
spdit;2019;1698000.0
hl;2018;21974000.0
hl;2019;18180000.0
nbl;2019;1067701000.0
star;2017;27649367000.0
star;2016;1067701000.0
siame;2018;58351000.0
al;2019;100285000.0
assad;2017;120160000.0
assad;2018;124491000.0
