Entreprise;Annee;Chiffre
ab;2017;716968000
ab;2018;829094000
ab;2019;908101000
adwya;2016;84750000
adwya;2018;108179000
adwya;2019;106194000
aetec;2018;9980000
alkim;2018;116970000
alkim;2017;150684000
alkim;2019;176909000
ams;2015;25361000
artes;2018;235400000
artes;2017;262391000
artes;2019;244345000
atb;2017;239708000
atb;2018;249039000
atb;2019;270743000
bt;2018;336229000
cc;2018;238226000
cell;2018;35053000
dh;2017;794548000
dh;2019;953361000
gif;2017;16884000
gif;2019;10690000
lstr;2018;37500000
lstr;2019;9400000
lstr;2017;33900000
mgr;2017;12274000
mgr;2018;14079000
ml;2017;13739000
ml;2018;8952000
pgh;2018;2167700000
pltu;2020;4832000
sah;2018;440350000
sah;2019;560136000
scb;2017;63577000
scb;2018;83297000
scb;2019;103523000
servi;2016;49822000
servi;2017;20634000
sfbt;2017;996867000
sfbt;2019;1202917000
somoc;2017;116380000
somoc;2018;128905000
somoc;2019;145412000
sopat;2017;66690000
sopat;2018;86593000
sotem;2017;51757000
sotem;2018;47821000
sotuv;2017;67249000
spdit;2018;25570000
spdit;2020;18981000
steq;2017;43729000
stip;2018;72604000000
stpap;2017;78064000
stpap;2018;106558000
stpil;2017;15101000
tair;2015_1;995388000
tgh;2018;74227000
tjari;2017;400581000
tjari;2018;485305000
tjl;2019;17664000
tlnet;2019;42679000000
tls;2017_0;132559000
tpr;2018;188797000
tpr;2016_0;127497000
tpr;2017;154402000
uadh;2017;419497000
ubci;2017;209494000
ubci;2018;230035000
ubci;2019;256249000
uib;2018;362598000
unimed;2017;70345000
unimed;2018;87088000
unimed;2019;107206000
wifack;2017;15891000
wifack;2018;25473000
mnp;2019;636076000.0
oth;2018;838680000.0
oth;2019;898083000.0
cc;2020;252976000.0
cell;2020;53100000.0
aetec;2019;7134000.0
aetec;2018;9981000.0
tinv;2019;395000.0
tgh;2017;99389000.0
sam;2018;21320000.0
gif;2018;13943000.0
bh;2018;494232000.0
bh;2017;387265000.0
sam;2019;24405000.0
icf;2018;185019000.0
sotumag;2019;14079000.0
servi;2018;20634000.0
ab ;2020;395028000.0
adwya;2020;97676000.0
ams;2015;25361000.0
al;2017;80461000.0
al;2018;91437000.0
mag;2017;952705000.0
mag;2018;1004311000.0
mag;2019;1056985000.0
icf;2019;187995000.0
nakl;2019;408700000000.0
hl;2017;26469000.0
sam;2018;21320000.0
sfbt;2018;1131356000.0
spdit;2019;1698000.0
hl;2018;21974000.0
hl;2019;18180000.0
nbl;2019;1067701000.0
star;2017;27649367000.0
star;2016;1067701000.0
siame;2018;58351000.0
al;2019;100285000.0
assad;2017;120160000.0
assad;2018;124491000.0
