Entreprise;Capitalisation_Boursiere
AB;632895900
AB;632895900
AB;632895900
ADWYA;100320480
ADWYA;100320480
ADWYA;100320480
AETEC;1000500
ALKIM;88872626
ALKIM;88872626
ALKIM;88872626
AMS;5261753
ARTES;153000000
ARTES;153000000
ARTES;153000000
ATB;270000000
ATB;270000000
ATB;270000000
BT;1485000000
CC;728484872
CELL;21816891
DH;812627477
DH;812627477
GIF;8979394
GIF;8979394
lsrt;9978929
lsrt;9978929
lsrt;9978929
mgr;41712000
mgr;41712000
ml;0
ml;0
PGH;2430048600
PLTU;0
SAH;832505007
SAH;832505007
SCB;51094856
SCB;51094856
SCB;51094856
SERVI;23748000
SERVI;23748000
SFBT;4561425000
SFBT;4561425000
SOMOC;40656000
SOMOC;40656000
SOMOC;40656000
SOPAT;52248525
SOPAT;52248525
SOTEM;112266001
SOTEM;112266001
SOTUV;220881911
SPDIT;229600000
SPDIT;229600000
STEQ;229600000
STIP;4965232000
STPAP;118472663
STPAP;118472663
STPIL;50486040
TAIR;60533589
tgh;82080000
TJARI;1360782699
TJARI;1360782699
TJL;25960000
TLNET;99836484000
TLS;2212278000
TPR;217000000
TPR;217000000
TPR;217000000
UADH;27345846
UBCI;469635900
UBCI;469635900
UBCI;469635900
UIB;533658400
UNIMED;247040000
UNIMED;247040000
UNIMED;247040000
WIFACK;204000000
WIFACK;204000000
MNP;116820826
OTH;627120000
OTH;627120000
CC;780028613
CELL;23199966
AETEC;1000500
AETEC;1000500
TINV;0
TGH;81000000
SAM;81000000
GIF;8028635
BH;448868000
BH;448868000
SAM;81000000
ICF;136500000
SOTUMAG;41580000
SERVI;24579180
AB;628923750
ADWYA;100320480
AMS;5261753
AL;88872626
AL;88872626
MAG;202758875
MAG;202758875
MAG;202758875
ICF;136500000
NAKL;3,69E+11
HL;35090000
SAM;81000000
SFBT;4561425000
SPDIT;229600000
HL;35090000
HL;35090000
NBL;21599760
STAR;281538546
STAR;281538546
SIAME;60372000
AL;88872626
ASSAD;46080000
ASSAD;46080000
