Entreprise;Annee;TCPP;CapitalPropre;PassifNonC;TActif;TPassif;PassifCourant;ActifNonC;ActifCourant;Reserves;CapitalSociale;TProdExploitation;TChargeExploitation;R_Exploitation;Res_Exsercice;ActiviteOrdinaire;Dotation;FT_Exploitation;FT_Investisement;FT_Financement;TDebut;TFin;Variation
ab;2017;8656198.0;818957.0;3918620.5;8656198.0;7837241.0;3918620.5;4328099.0;4328099.0;572213.0;132405.0;716968.0;-22598.0;127809.0;113911.0;115905.0;-7088.0;-160862.0;-134468.0;24349.0;-693532.0;-964513.0;-270981.0
adwya;2016;85735875.0;34183160.0;8413653.0;85735875.0;51552715.0;43139062.0;30986623.0;54749253.0;11829451.0;19305000.0;85876887.0;-2974324.0;6321887.0;2734405.0;2897574.0;-5107669.0;10091073.0;-4625548.0;-5843513.0;917634.0;539647.0;-377988.0
alkim;2017;189602234.0;32031513.0;41131972.0;189602234.0;157570721.0;116438270.0;82976124.0;106626111.0;32038256.0;19472530.0;180983278.0;-3127043.0;-15953905.0;32031513.0;;7104041.0;22688464.0;-2116427.0;-17546586.0;5432649.0;8458100.0;3025451.0
alkim;2019;236176354.0;-15671729.0;53543157.0;236176354.0;251848083.0;198304925.0;118088177.0;118088177.0;-5918249.0;19472530.0;176909511.0;-11188486.0;-19094786.0;-15671729.0;;8437546.0;;;;4995043.0;23252154.0;18257111.0
artes;2018;176171258.0;115023157.0;390000.0;176171258.0;61148101.0;60758101.0;46614471.0;129556787.0;21200067.0;38250000.0;;;23940161.0;25295162.0;25295162.0;;;;;91837092.0;56981591.0;-34855501.0
artes;2017;248220365.0;166735819.0;390000.0;248220365.0;81484546.0;81094546.0;19947874.0;228272491.0;89179826.0;38250000.0;263272899.0;-225525628.0;488798527.0;35425179.0;35425179.0;-1368568.0;;;;141593509.0;157880054.0;16286545.0
artes;2019;288524645.0;184694343.0;390000.0;288524645.0;103830302.0;103440302.0;33569411.0;254955234.0;111948789.0;38250000.0;244969888.0;-5258.0;35140756.0;184694343.0;;;;;;116332945.0;118416057.0;2083112.0
atb;2017;6398976.0;585234.0;2906871.0;6398976.0;5813742.0;2906871.0;3199488.0;3199488.0;431988.0;100000.0;444126.0;-40205.0;66161.0;585234.0;53626.0;-12996.0;;;;-249767.0;278175.0;28408.0
atb;2018;6409167.0;546454.0;2931356.5;6409167.0;5862713.0;2931356.5;3204583.5;3204583.5;437687.0;100000.0;522448.0;-54092.0;9669.0;7318.0;7448.0;-16349.0;;;;-221359.0;;
bt;2018;6370738.0;873108.0;2708577.0;6370738.0;5417154.0;2708577.0;3185369.0;3185369.0;542885.0;329644.0;537463.0;-28840.0;170654.0;579.0;127032.0;-10254.0;243878.0;-123018.0;-1470.0;163850.0;-44205.0;119645.0
